arm,annotation_id,question_id,split,question_type,fact_type,binary_label,mean_token_nll,mean_token_entropy,max_token_entropy,one_minus_mean_top2_margin,one_minus_min_top2_margin,mean_spilled_energy_abs_delta,max_spilled_energy_abs_delta,mean_spilled_energy_delta,negative_mean_spilled_energy_delta,mean_spilled_probability_mass_after_top1,mean_spilled_probability_mass_after_top2,max_selected_step_energy_gap
stored_six_decimal_scores,ann_b2_q_0048_001,q_0048,dev,country_comparison_month,month,0,2.2e-05,0.00027,0.001547,2.9e-05,0.000162,3.333332,7.624996,-0.041665,0.041665,2.2e-05,1.5e-05,0.000128
saved_trace_precision,ann_b2_q_0048_001,q_0048,dev,country_comparison_month,month,0,2.195303063364425e-05,0.0002700028896474767,0.0015466316835954785,2.8530756632449972e-05,0.00016242265701293945,3.333332379659017,7.624996185302734,-0.041665077209472656,0.041665077209472656,2.195437749226888e-05,1.5390098080677223e-05,0.0001277923583984375
stored_six_decimal_scores,ann_b2_q_0048_002,q_0048,dev,country_comparison_month,country,0,0.040533,0.180169,0.180169,0.076957,0.076957,0.096947,0.096947,-0.096947,0.096947,0.039723,0.002489,0.040533
saved_trace_precision,ann_b2_q_0048_002,q_0048,dev,country_comparison_month,country,0,0.04053306579589844,0.1801692694425583,0.1801692694425583,0.07695657014846802,0.07695657014846802,0.09694671630859375,0.09694671630859375,-0.09694671630859375,0.09694671630859375,0.039722561836242676,0.0024885646998882294,0.04053306579589844
stored_six_decimal_scores,ann_b2_q_0048_003,q_0048,dev,country_comparison_month,comparison_direction,0,0.069075,0.20273,0.617937,0.115581,0.415809,5.110512,10.318798,-0.048887,0.048887,0.061993,0.008405,0.246054
saved_trace_precision,ann_b2_q_0048_003,q_0048,dev,country_comparison_month,comparison_direction,0,0.06907483545546711,0.20273021472530672,0.6179366707801819,0.1155814528465271,0.41580915451049805,5.110511779785156,10.318798065185547,-0.04888725280761719,0.04888725280761719,0.06199339032173157,0.008405333054724906,0.24605369567871094
stored_six_decimal_scores,ann_b2_q_0048_004,q_0048,dev,country_comparison_month,currency_amount,0,0.012247,0.05693,0.27795,0.021735,0.152662,4.133464,7.625031,0.141574,-0.141574,0.011883,0.002032,0.080006
saved_trace_precision,ann_b2_q_0048_004,q_0048,dev,country_comparison_month,currency_amount,0,0.012246775410619647,0.05692972459528391,0.2779500484466553,0.02173471450805664,0.15266191959381104,4.133464431762695,7.625030517578125,0.14157447814941407,-0.14157447814941407,0.011883270740509034,0.002031829787421202,0.08000564575195312
stored_six_decimal_scores,ann_b2_q_0048_005,q_0048,dev,country_comparison_month,country,0,0.061762,0.260324,0.345937,0.105425,0.141097,0.60395,0.711037,0.107087,-0.107087,0.059616,0.013808,0.086037
saved_trace_precision,ann_b2_q_0048_005,q_0048,dev,country_comparison_month,country,0,0.061761967837810516,0.26032375544309616,0.3459371328353882,0.10542473196983337,0.1410973072052002,0.6039495468139648,0.7110366821289062,0.1070871353149414,-0.1070871353149414,0.05961635708808899,0.013807957991957664,0.08603668212890625
stored_six_decimal_scores,ann_b2_q_0048_006,q_0048,dev,country_comparison_month,currency_amount,0,1.5e-05,0.000205,0.000973,2.1e-05,7.7e-05,3.347806,9.728104,-0.522803,0.522803,1.5e-05,9e-06,6.7e-05
saved_trace_precision,ann_b2_q_0048_006,q_0048,dev,country_comparison_month,currency_amount,0,1.4829330245191841e-05,0.00020465476728759313,0.0009733796468935907,2.102851867680222e-05,7.677078247070312e-05,3.3478055953979493,9.728103637695312,-0.5228025436401367,0.5228025436401367,1.4829635620117188e-05,8.639723246517405e-06,6.67572021484375e-05
stored_six_decimal_scores,ann_b2_q_0048_007,q_0048,dev,country_comparison_month,country,0,0.528159,0.713041,0.713041,0.815598,0.815598,2.721336,2.721336,-2.721336,2.721336,0.41031,0.005023,0.52816
saved_trace_precision,ann_b2_q_0048_007,q_0048,dev,country_comparison_month,country,0,0.5281590223312378,0.7130413055419922,0.7130413055419922,0.8155977427959442,0.8155977427959442,2.7213363647460938,2.7213363647460938,-2.7213363647460938,2.7213363647460938,0.41031038761138916,0.0050230324268341064,0.5281600952148438
stored_six_decimal_scores,ann_b2_q_0048_008,q_0048,dev,country_comparison_month,comparison_direction,0,0.538067,1.172609,1.172609,0.728651,0.728651,2.506561,2.506561,2.506561,-2.506561,0.416124,0.103598,0.538071
saved_trace_precision,ann_b2_q_0048_008,q_0048,dev,country_comparison_month,comparison_direction,0,0.5380674600601196,1.1726086139678955,1.1726086139678955,0.7286505401134491,0.7286505401134491,2.506561279296875,2.506561279296875,2.506561279296875,-2.506561279296875,0.41612446308135986,0.10359838604927063,0.5380706787109375
stored_six_decimal_scores,ann_b2_q_0048_009,q_0048,dev,country_comparison_month,currency_amount,0,0.141532,0.113971,0.666795,0.111239,0.755169,0.845456,1.87591,-0.19436,0.19436,0.056285,0.001331,0.974438
saved_trace_precision,ann_b2_q_0048_009,q_0048,dev,country_comparison_month,currency_amount,0,0.1415317537030205,0.11397123130570565,0.6667945981025696,0.11123927150453838,0.7551694512367249,0.8454559871128627,1.8759098052978516,-0.19436018807547434,0.19436018807547434,0.056285083293914795,0.001330897756685902,0.9744377136230469
