arm,annotation_id,question_id,split,question_type,fact_type,binary_label,evidence_cluster,period_component,mean_token_nll,mean_token_entropy,max_token_entropy,one_minus_mean_top2_margin,one_minus_min_top2_margin,mean_spilled_energy_abs_delta,max_spilled_energy_abs_delta,mean_spilled_energy_delta,negative_mean_spilled_energy_delta,mean_spilled_probability_mass_after_top1,mean_spilled_probability_mass_after_top2,max_selected_step_energy_gap,all_positive,all_negative,dev_fact_type_prior
stored_six_decimal_scores,ann_full100_seed_q_0004_001,q_0004,dev,top_country_month,month,0,f8d696c0fdfaf78eda3f008de6d7e267a501cf09d0d002fb6ee802761ae17b63,period_component_01,1.3e-05,0.000166,0.000943,1.7e-05,9.9e-05,3.475753,10.604513,-0.809085,0.809085,1.3e-05,9e-06,7.4e-05,1.0,0.0,0.0
stored_six_decimal_scores,ann_full100_seed_q_0004_002,q_0004,dev,top_country_month,country,1,f8d696c0fdfaf78eda3f008de6d7e267a501cf09d0d002fb6ee802761ae17b63,period_component_01,0.692191,1.133532,1.133532,0.889295,0.889295,1.404308,1.404308,1.404308,-1.404308,0.499521,0.109748,0.692192,1.0,0.0,0.7142857142857143
stored_six_decimal_scores,ann_full100_seed_q_0004_003,q_0004,dev,top_country_month,currency_amount,1,f8d696c0fdfaf78eda3f008de6d7e267a501cf09d0d002fb6ee802761ae17b63,period_component_01,0.090725,0.111085,0.899114,0.095954,0.880555,1.836596,6.075016,-0.103398,0.103398,0.050063,0.004173,0.866209,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_seed_q_0005_001,q_0005,test,top_country_month,month,0,dcd4782cb79be96ccde94912009644ec6f9191b07f6f21012da7319fd3d8ac1a,period_component_01,1.3e-05,0.000164,0.000861,1.6e-05,8.6e-05,3.481531,9.889191,-0.814864,0.814864,1.3e-05,9e-06,6.7e-05,1.0,0.0,0.0
stored_six_decimal_scores,ann_full100_seed_q_0005_002,q_0005,test,top_country_month,country,1,dcd4782cb79be96ccde94912009644ec6f9191b07f6f21012da7319fd3d8ac1a,period_component_01,1.090565,1.679479,1.679479,1.0,1.0,1.978729,1.978729,1.978729,-1.978729,0.663973,0.327947,1.090567,1.0,0.0,0.7142857142857143
stored_six_decimal_scores,ann_full100_seed_q_0005_003,q_0005,test,top_country_month,country,1,dcd4782cb79be96ccde94912009644ec6f9191b07f6f21012da7319fd3d8ac1a,period_component_01,0.00062,0.006698,0.006698,0.000881,0.000881,1.702442,1.702442,-1.702442,1.702442,0.00062,0.000359,0.00062,1.0,0.0,0.7142857142857143
stored_six_decimal_scores,ann_full100_seed_q_0005_004,q_0005,test,top_country_month,currency_amount,1,dcd4782cb79be96ccde94912009644ec6f9191b07f6f21012da7319fd3d8ac1a,period_component_01,0.03334,0.112264,0.715582,0.055368,0.391807,2.091374,4.250019,0.083379,-0.083379,0.030211,0.005055,0.244781,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_seed_q_0009_001,q_0009,dev,top_country_month,month,0,a0a8b0293ef3e8786b9ae03ba452433ac5587d2f36cb8677fcc1b5b3bb285c02,period_component_02,1e-05,0.000142,0.000761,1.3e-05,6.9e-05,4.12208,9.607485,-0.830414,0.830414,1e-05,8e-06,5.7e-05,1.0,0.0,0.0
stored_six_decimal_scores,ann_full100_seed_q_0009_002,q_0009,dev,top_country_month,country,1,a0a8b0293ef3e8786b9ae03ba452433ac5587d2f36cb8677fcc1b5b3bb285c02,period_component_02,2.37568,1.820861,1.820861,0.558054,0.558054,5.590794,5.590794,5.590794,-5.590794,0.465102,0.372151,2.375687,1.0,0.0,0.7142857142857143
stored_six_decimal_scores,ann_full100_seed_q_0009_003,q_0009,dev,top_country_month,currency_amount,1,a0a8b0293ef3e8786b9ae03ba452433ac5587d2f36cb8677fcc1b5b3bb285c02,period_component_02,0.07466,0.19613,1.051162,0.111957,0.632874,3.698653,10.56698,-0.169636,0.169636,0.063367,0.014778,0.462721,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_seed_q_0009_004,q_0009,dev,top_country_month,ranking,1,a0a8b0293ef3e8786b9ae03ba452433ac5587d2f36cb8677fcc1b5b3bb285c02,period_component_02,0.501568,1.08688,2.008886,0.445457,0.849194,1.874519,3.916883,0.765882,-0.765882,0.298925,0.152394,1.459017,1.0,0.0,1.0
stored_six_decimal_scores,ann_full100_seed_q_0010_001,q_0010,test,top_country_month,month,0,28b82da324c1c7dc79fa4f69d3bc6f0cbc4b22ebffdda94a0a7be5cc7e5c1fd3,period_component_02,1.5e-05,0.00019,0.001006,2.2e-05,0.000116,3.627131,9.762783,-0.710462,0.710462,1.5e-05,8e-06,8e-05,1.0,0.0,0.0
stored_six_decimal_scores,ann_full100_seed_q_0010_002,q_0010,test,top_country_month,country,1,28b82da324c1c7dc79fa4f69d3bc6f0cbc4b22ebffdda94a0a7be5cc7e5c1fd3,period_component_02,0.142192,0.422276,0.843056,0.20776,0.415352,2.946973,3.268824,-0.321851,0.321851,0.123776,0.039793,0.284264,1.0,0.0,0.7142857142857143
stored_six_decimal_scores,ann_full100_seed_q_0010_003,q_0010,test,top_country_month,malformed_number,1,28b82da324c1c7dc79fa4f69d3bc6f0cbc4b22ebffdda94a0a7be5cc7e5c1fd3,period_component_02,0.151796,0.133254,0.583589,0.088727,0.537938,3.303853,6.106499,-0.101201,0.101201,0.045923,0.003119,1.313381,1.0,0.0,1.0
stored_six_decimal_scores,ann_full100_seed_q_0014_001,q_0014,dev,top_country_month,month,0,81d810b0bbaa509074f22bb8f09a0d107971df5be56c39af555e91e676943f02,period_component_01,8e-06,0.000107,0.000576,1.1e-05,5.9e-05,3.039421,8.48653,-0.747755,0.747755,8e-06,5e-06,4.4e-05,1.0,0.0,0.0
stored_six_decimal_scores,ann_full100_seed_q_0014_002,q_0014,dev,top_country_month,country,1,81d810b0bbaa509074f22bb8f09a0d107971df5be56c39af555e91e676943f02,period_component_01,0.108211,0.353604,0.703085,0.167373,0.334333,1.113039,1.249657,-0.136618,0.136618,0.097335,0.027298,0.21608,1.0,0.0,0.7142857142857143
stored_six_decimal_scores,ann_full100_seed_q_0014_003,q_0014,dev,top_country_month,malformed_number,1,81d810b0bbaa509074f22bb8f09a0d107971df5be56c39af555e91e676943f02,period_component_01,0.127051,0.139592,1.027896,0.090325,0.733712,2.602678,6.963936,0.099968,-0.099968,0.051315,0.012305,1.181898,1.0,0.0,1.0
stored_six_decimal_scores,ann_full100_seed_q_0014_004,q_0014,dev,top_country_month,ranking,1,81d810b0bbaa509074f22bb8f09a0d107971df5be56c39af555e91e676943f02,period_component_01,0.717526,1.607359,2.399124,0.692289,0.966821,1.319124,2.227032,1.285455,-1.285455,0.473947,0.255606,1.264572,1.0,0.0,1.0
stored_six_decimal_scores,ann_full100_draft_q_0020_001,q_0020,dev,top_product_month,month,0,42e37802da02bfae327eacfaba33de48c96e072c5a89fc6af81b80bd847c698d,period_component_03,1.6e-05,0.000197,0.001089,2.1e-05,0.00012,2.780792,7.80975,-0.489124,0.489124,1.6e-05,1e-05,8.8e-05,1.0,0.0,0.0
stored_six_decimal_scores,ann_full100_draft_q_0020_002,q_0020,dev,top_product_month,product_name,1,42e37802da02bfae327eacfaba33de48c96e072c5a89fc6af81b80bd847c698d,period_component_03,0.144431,0.257493,1.158525,0.15967,1.0,5.1101,9.457428,0.334543,-0.334543,0.102058,0.044446,0.917572,1.0,0.0,1.0
stored_six_decimal_scores,ann_full100_draft_q_0020_003,q_0020,dev,top_product_month,product_stock_code,1,42e37802da02bfae327eacfaba33de48c96e072c5a89fc6af81b80bd847c698d,period_component_03,3.1e-05,0.000353,0.000988,5.8e-05,0.000177,3.300515,5.24992,-1.383849,1.383849,3.1e-05,4e-06,9.2e-05,1.0,0.0,0.8
stored_six_decimal_scores,ann_full100_draft_q_0020_004,q_0020,dev,top_product_month,currency_amount,1,42e37802da02bfae327eacfaba33de48c96e072c5a89fc6af81b80bd847c698d,period_component_03,0.098329,0.109338,0.789823,0.120334,0.938574,3.34736,7.125,-0.313739,0.313739,0.061275,0.002215,0.773624,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0020_005,q_0020,dev,top_product_month,ranking,1,42e37802da02bfae327eacfaba33de48c96e072c5a89fc6af81b80bd847c698d,period_component_03,0.401517,1.029386,1.275968,0.474834,0.948474,0.952878,1.324377,0.732262,-0.732262,0.302524,0.130214,0.824377,1.0,0.0,1.0
stored_six_decimal_scores,ann_full100_draft_q_0033_001,q_0033,dev,country_comparison_month,month,0,df1feee1f5bee5f48d5b15a387b58e14c5dc495934b13faa41d5570b948a8f09,period_component_01,4.4e-05,0.000511,0.002987,5.59999999999e-05,0.000326,3.291664,7.624994,2e-06,-2e-06,4.4e-05,3.3e-05,0.000261,1.0,0.0,0.0
stored_six_decimal_scores,ann_full100_draft_q_0033_002,q_0033,dev,country_comparison_month,country,1,df1feee1f5bee5f48d5b15a387b58e14c5dc495934b13faa41d5570b948a8f09,period_component_01,0.899285,0.687115,0.687115,0.814882,0.814882,1.26095,1.26095,-1.26095,1.26095,0.408021,0.001161,0.899284,1.0,0.0,0.7142857142857143
stored_six_decimal_scores,ann_full100_draft_q_0033_003,q_0033,dev,country_comparison_month,comparison_direction,1,df1feee1f5bee5f48d5b15a387b58e14c5dc495934b13faa41d5570b948a8f09,period_component_01,0.006813,0.041353,0.139906,0.010998,0.040117,5.055367,10.619989,-0.679804,0.679804,0.006737,0.002476,0.024649,1.0,0.0,0.6666666666666666
stored_six_decimal_scores,ann_full100_draft_q_0033_004,q_0033,dev,country_comparison_month,currency_amount,0,df1feee1f5bee5f48d5b15a387b58e14c5dc495934b13faa41d5570b948a8f09,period_component_01,0.033736,0.131612,0.626166,0.053808,0.248536,1.963725,3.250004,-0.142789,0.142789,0.031715,0.009623,0.174356,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0033_005,q_0033,dev,country_comparison_month,currency_amount,0,df1feee1f5bee5f48d5b15a387b58e14c5dc495934b13faa41d5570b948a8f09,period_component_01,0.000565,0.003863,0.030373,0.001104,0.009298,2.342844,8.090248,-0.481716,0.481716,0.000564,2.3e-05,0.0047,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0033_006,q_0033,dev,country_comparison_month,currency_amount,1,df1feee1f5bee5f48d5b15a387b58e14c5dc495934b13faa41d5570b948a8f09,period_component_01,0.114456,0.312881,2.274654,0.108634,0.742306,2.063765,4.125063,0.324939,-0.324939,0.079863,0.051092,0.897326,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0033_007,q_0033,dev,country_comparison_month,currency_amount,1,df1feee1f5bee5f48d5b15a387b58e14c5dc495934b13faa41d5570b948a8f09,period_component_01,0.001527,0.011624,0.083709,0.002288,0.017185,2.852567,7.94486,-0.258627,0.258627,0.001519,0.000751,0.011374,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0033_008,q_0033,dev,country_comparison_month,currency_amount,1,df1feee1f5bee5f48d5b15a387b58e14c5dc495934b13faa41d5570b948a8f09,period_component_01,0.13591,0.446575,1.882702,0.16202,0.672203,1.773035,4.000357,0.316312,-0.316312,0.109707,0.057394,0.656704,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0034_001,q_0034,test,country_comparison_month,country,1,7e2ff1969c78dc4e89a6237ab1dd568e3721634c7e628f431617c283752f8434,period_component_01,1.434414,1.009174,1.009174,0.666711,0.666711,1.732981,1.732981,-1.732981,1.732981,0.428456,0.190201,1.434414,1.0,0.0,0.7142857142857143
stored_six_decimal_scores,ann_full100_draft_q_0034_002,q_0034,test,country_comparison_month,comparison_direction,1,7e2ff1969c78dc4e89a6237ab1dd568e3721634c7e628f431617c283752f8434,period_component_01,0.00755,0.057386,0.127141,0.010372,0.02272,5.205251,10.307821,0.05134,-0.05134,0.0075,0.004628,0.017019,1.0,0.0,0.6666666666666666
stored_six_decimal_scores,ann_full100_draft_q_0034_003,q_0034,test,country_comparison_month,currency_amount,0,7e2ff1969c78dc4e89a6237ab1dd568e3721634c7e628f431617c283752f8434,period_component_01,0.040389,0.116438,0.593508,0.068423,0.492771,4.457762,8.589693,0.084802,-0.084802,0.036121,0.00382,0.286266,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0034_004,q_0034,test,country_comparison_month,currency_amount,0,7e2ff1969c78dc4e89a6237ab1dd568e3721634c7e628f431617c283752f8434,period_component_01,5.3e-05,0.000529,0.003648,9.8e-05,0.000779,2.579619,9.716967,-0.551837,0.551837,5.3e-05,8e-06,0.000399,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0034_005,q_0034,test,country_comparison_month,currency_amount,1,7e2ff1969c78dc4e89a6237ab1dd568e3721634c7e628f431617c283752f8434,period_component_01,0.349843,0.366288,1.662088,0.147895,0.60231,2.541339,4.623629,0.287535,-0.287535,0.105306,0.062718,2.169609,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0034_006,q_0034,test,country_comparison_month,unsupported_business_claim,1,7e2ff1969c78dc4e89a6237ab1dd568e3721634c7e628f431617c283752f8434,period_component_01,0.680735,1.168013,2.382447,0.563182,1.0,2.19745,6.997738,0.598905,-0.598905,0.361755,0.160328,1.521818,1.0,0.0,1.0
stored_six_decimal_scores,ann_full100_draft_q_0053_001,q_0053,dev,monthly_revenue_change,month,0,231ac1024839bdf7b065a9c511d816725583e5f37f38e32f3be15781d45f494a,period_component_01,0.027728,0.090975,0.543176,0.044675,0.267682,3.270264,4.75,0.563148,-0.563148,0.02555,0.006425,0.166128,1.0,0.0,0.0
stored_six_decimal_scores,ann_full100_draft_q_0053_002,q_0053,dev,monthly_revenue_change,currency_amount,0,231ac1024839bdf7b065a9c511d816725583e5f37f38e32f3be15781d45f494a,period_component_01,0.030863,0.079201,0.800549,0.045806,0.486926,3.142995,5.875347,0.061618,-0.061618,0.02642,0.007034,0.329756,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0053_003,q_0053,dev,monthly_revenue_change,month,0,231ac1024839bdf7b065a9c511d816725583e5f37f38e32f3be15781d45f494a,period_component_01,7.3e-05,0.000765,0.003862,0.000116,0.000614,3.527368,6.039591,-0.819034,0.819034,7.3e-05,3.1e-05,0.000383,1.0,0.0,0.0
stored_six_decimal_scores,ann_full100_draft_q_0053_004,q_0053,dev,monthly_revenue_change,currency_amount,0,231ac1024839bdf7b065a9c511d816725583e5f37f38e32f3be15781d45f494a,period_component_01,2.2e-05,0.000253,0.00128,3.9e-05,0.000231,3.518978,10.458956,-0.81443,0.81443,2.2e-05,5e-06,0.000122,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0053_005,q_0053,dev,monthly_revenue_change,currency_amount,0,231ac1024839bdf7b065a9c511d816725583e5f37f38e32f3be15781d45f494a,period_component_01,0.012288,0.060767,0.44379,0.018756,0.122422,2.905131,5.000368,-0.132169,0.132169,0.011863,0.004971,0.091045,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0053_006,q_0053,dev,monthly_revenue_change,percentage,1,231ac1024839bdf7b065a9c511d816725583e5f37f38e32f3be15781d45f494a,period_component_01,1.270152,1.437812,2.421487,0.63342,1.0,4.670494,9.279318,2.112377,-2.112377,0.514441,0.395462,2.457798,1.0,0.0,0.8333333333333334
stored_six_decimal_scores,ann_full100_draft_q_0059_001,q_0059,test,monthly_revenue_change,month,0,4f6798dbe9d7ffabf3981d98bdbe18045a57c6fef3b68c8185ae1aef26462983,period_component_02,0.034535,0.116359,0.694885,0.047434,0.283995,3.467058,8.427025,0.241384,-0.241384,0.031202,0.014969,0.206881,1.0,0.0,0.0
stored_six_decimal_scores,ann_full100_draft_q_0059_002,q_0059,test,monthly_revenue_change,currency_amount,1,4f6798dbe9d7ffabf3981d98bdbe18045a57c6fef3b68c8185ae1aef26462983,period_component_02,0.100644,0.140795,0.689185,0.124872,0.87569,3.792766,8.062737,-0.178247,0.178247,0.063426,0.00198,0.826284,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0059_003,q_0059,test,monthly_revenue_change,percentage,1,4f6798dbe9d7ffabf3981d98bdbe18045a57c6fef3b68c8185ae1aef26462983,period_component_02,1.525353,1.663476,2.601305,0.625588,1.0,4.859459,7.50061,2.22367,-2.22367,0.54124,0.456892,2.819036,1.0,0.0,0.8333333333333334
stored_six_decimal_scores,ann_full100_draft_q_0059_004,q_0059,test,monthly_revenue_change,comparison_direction,0,4f6798dbe9d7ffabf3981d98bdbe18045a57c6fef3b68c8185ae1aef26462983,period_component_02,0.124101,0.469527,0.469527,0.209808,0.209808,0.180164,0.180164,-0.180164,0.180164,0.11671,0.023611,0.124102,1.0,0.0,0.6666666666666666
stored_six_decimal_scores,ann_full100_draft_q_0059_005,q_0059,test,monthly_revenue_change,month,0,4f6798dbe9d7ffabf3981d98bdbe18045a57c6fef3b68c8185ae1aef26462983,period_component_02,0.035555,0.12187,0.693932,0.049105,0.284873,2.587117,4.8925,0.164621,-0.164621,0.032183,0.015261,0.208107,1.0,0.0,0.0
stored_six_decimal_scores,ann_full100_draft_q_0059_006,q_0059,test,monthly_revenue_change,currency_amount,1,4f6798dbe9d7ffabf3981d98bdbe18045a57c6fef3b68c8185ae1aef26462983,period_component_02,0.087154,0.110851,0.705109,0.101696,0.876031,2.659664,7.170965,-0.386458,0.386458,0.051387,0.001079,0.829035,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0059_007,q_0059,test,monthly_revenue_change,currency_amount,1,4f6798dbe9d7ffabf3981d98bdbe18045a57c6fef3b68c8185ae1aef26462983,period_component_02,0.02329,0.10278,0.712739,0.030688,0.240566,2.124364,4.002253,0.030239,-0.030239,0.021582,0.012476,0.189537,1.0,0.0,0.575
stored_six_decimal_scores,ann_full100_draft_q_0063_001,q_0063,dev,top3_products_month,month,0,42e37802da02bfae327eacfaba33de48c96e072c5a89fc6af81b80bd847c698d,period_component_03,1.3e-05,0.000167,0.000863,1.8e-05,9.7e-05,3.587292,8.523758,-0.837292,0.837292,1.3e-05,8e-06,6.9e-05,1.0,0.0,0.0
stored_six_decimal_scores,ann_full100_draft_q_0063_002,q_0063,dev,top3_products_month,ranking,1,42e37802da02bfae327eacfaba33de48c96e072c5a89fc6af81b80bd847c698d,period_component_03,0.097707,0.266344,0.528806,0.169968,0.339199,2.897115,5.293829,-2.396714,2.396714,0.088788,0.007609,0.195013,1.0,0.0,1.0
stored_six_decimal_scores,ann_full100_draft_q_0063_003,q_0063,dev,top3_products_month,product_name,1,42e37802da02bfae327eacfaba33de48c96e072c5a89fc6af81b80bd847c698d,period_component_03,0.095953,0.198348,1.627005,0.098321,0.829075,5.200733,9.471533,0.355112,-0.355112,0.06611,0.0339,0.83379,1.0,0.0,1.0
stored_six_decimal_scores,ann_full100_draft_q_0063_004,q_0063,dev,top3_products_month,product_stock_code,1,42e37802da02bfae327eacfaba33de48c96e072c5a89fc6af81b80bd847c698d,period_component_03,0.186019,0.301488,1.713492,0.164991,0.95561,4.610561,8.000023,0.514447,-0.514447,0.106624,0.048257,1.098465,1.0,0.0,0.8
